"ClassCode","Name","Description","Level","HomeRoom","Status"
"1N","1 North",,"First",,"Active"
"1E","1 East",,"First",,"Active"
"1W","1 West",,"First",,"Active"
"1S","1 South",,"First",,"Active"
"1C","1 Central",,"First",,"Active"
"1X","1 X",,"First",,"Active"
"1Y","1 Y",,"First",,"Active"
"1M","1 M",,"First",,"Active"
"2N","2 North",,"Second",,"Active"
"2M","2 M",,"Second",,"Active"
"2E","2 East",,"Second",,"Active"
"2S","2 South",,"Second",,"Active"
"2W","2 West",,"Second",,"Active"
"2C","2 Central",,"Second",,"Active"
"2X","2 X",,"Second",,"Active"
"3A","3 Arts",,"Third",,"Active"
"3B","3 Business",,"Third",,"Active"
"3G1","3 General 1",,"Third",,"Active"
"3G2","3 General 2",,"Third",,"Active"
"3S","3 Science",,"Third",,"Active"
"3V","3 Vocational",,"Third",,"Active"
"4A","4 Arts",,"Fourth",,"Active"
"4B","4 Business",,"Fourth",,"Active"
"4G","4 General",,"Fourth",,"Active"
"4S","4 Science",,"Fourth",,"Active"
"4V","4 Vocational",,"Fourth",,"Active"
